状況,表情,セリフ,セリフ2
相手が第１局目で先行,通常顔,ま、初回ぐらいはワタシがアタリ牌の避け方を見せてあげますわね,
相手が第一局目で後攻,ピースキメ顔,どうぞ、紳士的な一手をお願いしますわ。いきなり振り込まないでね？,
相手が第一局目で合わせ(敵の直前の打牌同じ牌を打つこと)を行う,キメ顔,アナタの打牌に同じ牌を当てるコト…現物合わせ。,これこそがこのゲームの絶対安全牌よ。
自分が第一局目で初めて合わせを行う,キメ顔,ワタシの打牌に全く同じ牌を当てた…!,ふぅん、現物でしっかり凌ぐつもりね
初めて限度額いっぱいまで賭けた時の開幕のセリフ,煽り顔,あらあら。血気盛んだコト…,よっぽど高い手で張ってるみたいね
初めて最小単位で賭けた時の開幕のセリフ,ピース煽り顔,ふふふ。アナタ、賭け事は初めて？,このヒリつくプレッシャーに、小鹿のように震えてるわ
初めて流局した時の最後のセリフ,煽り顔,お互い17回しのいだわね。流局……ガマン比べみたい？,さあ、もう一度同じ量を賭けなさい
初めて一九字牌を切った時のセリフ,煽り顔,まぁ安パイよね。確率的には。,でも端牌のヒッカケなんてよくある話よ？
初めて2-8の牌をを切った時のセリフ,煽り顔,ロンって言いたくなる牌ね？,本命のアタリ牌かもよ？
1局目のゲーム開始時,煽り顔,さあ、命を懸けた究極の麻雀の始まりですわ。,
2局目以降の開幕時,煽り顔,まだやる気なの？往生際が悪いですわね。,
プレイヤーのHPが残りわずかな時の開幕,煽り顔,次でトドメね。振り込む覚悟はできてるかしら？,
敵のHPが残りわずかな時の開幕,通常顔,くっ……まだよ、ここから巻き返してあげるわ！,
プレイヤーが圧倒的有利な時の開幕,通常顔,まぐれでアタリ牌を躱してるからって、調子に乗らないでよね。,
敵が圧倒的有利な時の開幕,煽り顔,ふふっ、圧倒的じゃない。もう諦めたらどう？,
プレイヤーのHPが0になった時,ピースキメ顔,はい、ゲームオーバー♡ アナタの負けよ。,
敵のHPが0になった時,通常顔,ウソ……ワタシが、負けるなんて……！,
流局が2回以上続いた時,通常顔,退屈な時間……そろそろ決着をつけましょう？,
プレイヤーが即座に限度額を賭けた時,通常顔,迷いがないわね。……破滅願望でもあるの？,
プレイヤーが前の局で負けたのに限度額を賭けた時,煽り顔,ムキになってるわね。カモの典型だわ。,
プレイヤーが少額しか賭けなかった時,ピース煽り顔,ビビってるの？小鹿みたいで可愛いですわ。,
自分が限度額を賭けた時,キメ顔,ワタシはMAXでいくわ。このアタリ牌、アナタに躱せるかしら？,
敵の手が役満の時,キメ顔,フフフ……死にたいみたいね。とびっきりの役満を見せてあげる。,
敵の手が満貫以上の時,煽り顔,今回は、少し期待していいですわよ？,
敵の手が安い時,通常顔,今回は遊んであげる。軽く捻ってあげるわ。,
プレイヤーが手牌決定に時間をかけている時,煽り顔,34枚から13枚を選ぶだけよ？,どんな待ちにするか、迷ってるのかしら？
プレイヤーが手牌を即決した時,通常顔,早いわね。適当に組んだの？それとも……完璧なテンパイを組めたのかしら？,
プレイヤーが赤ドラを切った時,通常顔,あら、赤ドラを捨てるなんて。自分の手には組み込めなかったのね。,
プレイヤーがオタ風を切った時,通常顔,まずは絶対安全な字牌から…ってわけ？つまらない男ね。,
プレイヤーが役牌を切った時,通常顔,役牌切り……さて、どういう魂胆かしら。,
プレイヤーが字牌を連続で切った時,通常顔,字牌の連打……さては現物がないわね？,
プレイヤーがド真ん中の牌を切った時,キメ顔,勝負に出るのね。その度胸だけは褒めてあげる。,
プレイヤーが前の捨て牌と同じ牌を切った時,通常顔,同じ牌……なるほど、しのぎに来てるわね。,
プレイヤーがスジ牌を切った時,通常顔,スジ頼み……基本はできてるみたいね。,
敵が赤ドラを切る時,キメ顔,こんなの、ワタシには不要よ。,
敵が手出しを続けている時,煽り顔,ワタシの待ち、読めるかしら？,
