trigger	face	manfu	dialogue
Bet_BluffMax	キレ笑顔	Exclamation	その程度の手でMAXベット！？ いい度胸ですわね！
Bet_BluffMax	煽り顔	Heart	威勢だけは一人前ね。虚勢を張る小鹿は可愛いわよ♡
Bet_BluffMax	コミカル顔	Question	即決で全賭け……？ 本当に何も考えてないのかしら
Bet_TenpaiMax	キメ顔	None	望むところよ。その大手、粉砕してさしあげますわ
Bet_TenpaiMax	キレ笑顔	Exclamation	いい度胸ね！ 全部まとめて頂いてあげる
Bet_TenpaiMax	煽り顔	Heart	大きく賭けたわね。器も一緒に大きければよかったのに♡
Bet_HesitateMax	煽り顔	Heart	散々悩んでMAX？ 迷いが顔に出すぎていてよ♡
Bet_HesitateMax	キメ顔	None	散々迷った末の勝負……受けて立ちますわ
Bet_HesitateMax	コミカル顔	Sweat	上げたり下げたり悩んだ割に、結局全賭けなのね……
Bet_RevengeMax	煽り顔	Heart	カッとなって全額勝負？ カモの典型的な行動ですわ♡
Bet_RevengeMax	キレ笑顔	Exclamation	悔しさに任せた全賭けね。返り討ちにしてあげる！
Bet_RevengeMax	通常顔	None	熱くなったら終わりよ。冷静さを欠いた賭けね
Bet_TenpaiMin	キメ顔	Question	そんな少額で隠れて……何か大きな罠でも仕掛けてる？
Bet_TenpaiMin	煽り顔	Heart	自信作なのに最小ベット？ 慎重すぎて可愛いですわ♡
Bet_TenpaiMin	コミカル顔	None	すごい気迫を感じるのに、賭け金は雀の涙なのね
Bet_NoTenMin	煽り顔	Heart	ビビってるの？ 小鹿みたいで可愛いですわ♡
Bet_NoTenMin	通常顔	None	安い手で小さく賭ける。堅実といえば堅実ね
Bet_NoTenMin	コミカル顔	Question	その額、ワタシの朝食より安いのだけど？
Bet_FidgetSpam	コミカル顔	Anger	ちょっと！ さっきから上げたり下げたり落ち着きなさい！
Bet_FidgetSpam	煽り顔	Heart	あら、ボタンを連打して指の体操かしら？ 可愛いこと♡
Bet_FidgetSpam	困り顔	Sweat	ピコピコうるさいわね……早く決めてくれないかしら
Bet_ZeroGiveUp	困り顔	Sweat	最初から勝負を投げるなんて……つまらない男ね
Bet_ZeroGiveUp	煽り顔	Heart	ゼロで逃げるの？ 賢明だけどプライドはないのかしら♡
Bet_ZeroGiveUp	通常顔	None	血を賭けない選択……命拾いしたと思いなさい
Skill_PlayerClairvoyance	笑顔	None	あら、ワタシの手を見たいの？ 見たところで防げるかしら
Skill_PlayerClairvoyance	煽り顔	Heart	覗き見なんて破廉恥ね。目に焼き付けて絶望なさい♡
Skill_PlayerClairvoyance	キメ顔	Exclamation	見られたところで痛くも痒くもないわ。かかってきなさい
Skill_PlayerEnhance	キメ顔	Exclamation	命を削って手を強化したの……！？ いい覚悟ですわ
Skill_PlayerEnhance	煽り顔	Heart	血を払って大勝負？ 失敗したら大惨事ですわよ♡
Skill_PlayerEnhance	通常顔	None	そこまでして勝ちに来るのね。油断はできないわ
Skill_PlayerSpecialWin	困り顔	Sweat	全命を賭けた一撃……本気でワタシを倒す気ね
Skill_PlayerSpecialWin	キレ笑顔	Exclamation	すべてを賭けた必殺技ね！ 受けて立ってあげますわ！
Skill_PlayerSpecialWin	煽り顔	Heart	イチかバチかの大博打？ 散り際としては美しいわよ♡
Skill_EnemyClairvoyance	煽り顔	Heart	フフ……アナタの手、丸見えよ♡ 隠し事は無駄ですわ
Skill_EnemyClairvoyance	キメ顔	Exclamation	すべて見切ったわ。アナタに逃げ場はありません
Skill_EnemyClairvoyance	笑顔	None	あらあら、面白い手ね。じっくり料理してあげる
Skill_HighCostPaid	困り顔	Sweat	くっ……かなりの血を払ったわ。絶対に無駄にはしない！
Skill_HighCostPaid	キレ笑顔	Exclamation	この痛みの分、アナタには倍にして返してあげますわ！
Skill_HighCostPaid	通常顔	None	必要な犠牲よ。これで勝利はワタシのもの
Skill_NearDeathByCost	困り顔	Sweat	ハァ……ハァ……後がないわね。次で全てを決める！
Skill_NearDeathByCost	キレ笑顔	Exclamation	ワタシの血が尽きる前に、アナタの息の根を止めるわ！
Skill_NearDeathByCost	キメ顔	None	背水の陣よ。ここからが本当の勝負ですわ
Discard_RedDora	煽り顔	None	あら、ドラを捨てるなんて。使いこなせなかったのかしら♡
Discard_RedDora	キメ顔	Exclamation	ドラを迷わず切ったわね……勝負を急いでいるのかしら
