id	speaker	dialogue
r0.beforeBetLines[0]	Enemy	次は賭け金よ。
r0.beforeBetLines[1]	Enemy	言っておくけど、決めた分の血はその場で抜かれるわ。
r0.beforeBetLines[2]	Enemy	勝ってから払うんじゃない。賭けた瞬間に、もう減っているの。
r0.beforeBetLines[3]	Enemy	体力ゲージ、決めた瞬間に減るのを見ていなさい。
r0.beforeBetLines[4]	Enemy	戻ってくるかどうかは、まだ何も決まっていないけれど。
r0.beforeBetLines[5]	Enemy	勝てば役の倍率をかけて返る。負ければ、払った上にもっと持っていかれる。
r0.beforeBetLines[6]	Enemy	いくら出す？ 自分で決めていいのよ。
r0.introLines[0]	Enemy	契約は済んだわね。
r0.introLines[1]	Enemy	その契約書、まだ乾いていないでしょう。
r0.introLines[2]	Enemy	……インク？ 違うわ。あなたの色よ。
r0.introLines[3]	Enemy	名前を書いた指、まだ痛む？
r0.introLines[4]	Enemy	ねえ、その血。あなたは "払った" つもり？
r0.introLines[5]	Enemy	買い物なら、対価。詫びなら、誠意。契約なら、証。
r0.introLines[6]	Enemy	どれも、自分で差し出したものよね。
r0.introLines[7]	Enemy	それとも "抜かれた" と思っているのかしら。
r0.introLines[8]	Enemy	献血なら、腕を出しただけ。虫になら、気づかぬうちに。
r0.introLines[9]	Enemy	悪魔になら……断れなかったから。
r0.introLines[10]	Enemy	ふふ。どちらでも、減った量は同じよ。
r0.introLines[11]	Enemy	違うのは、誰が決めたかだけ。
r0.introLines[12]	Enemy	さあ、始めましょう。
r0.introLines[13]	Enemy	山牌から13枚選びなさい。それがあなたの命の値段になるわ。
r0.onBattleStartLines[0]	Enemy	対局開始よ。
r0.onBattleStartLines[1]	Enemy	あなたの番。好きな牌を捨ててごらんなさい。
r0.onBattleStartLines[2]	Enemy	一枚捨てるたびに、どちらかが近づくの。
r0.onHandFilledLines[0]	Enemy	13枚ね。……その手、満貫にも届いていないわ。
r0.onHandFilledLines[1]	Enemy	安い手で座るのは許さない。死ぬ値打ちがないもの。
r0.onHandFilledLines[2]	Enemy	今回は組んであげる。『自動』を押しなさい。
r0.onSelfManganLines[0]	Enemy	……あら。ちゃんと満貫に届いてる。
r0.onSelfManganLines[1]	Enemy	麻雀を知っている手ね。少し楽しくなってきたわ。
r0.onSelfManganLines[2]	Enemy	文句はないわ。『決定』を押しなさい。
r0.outroLines[0]	Enemy	ロン。あなたの上がりね。
r0.outroLines[1]	Enemy	獲得は『自分が賭けた額 × 役の倍率』。跳満なら1.5倍。
r0.outroLines[2]	Enemy	負けたほうは『自分が賭けた額 × 相手の倍率』を失う。
r0.outroLines[3]	Enemy	……それでね。満貫は、1倍なの。
r0.outroLines[4]	Enemy	勝っても、払った分が戻ってくるだけ。
r0.outroLines[5]	Enemy	気づいた？ 満貫で勝っても、あなたは1滴も増えていないの。
r0.outroLines[6]	Enemy	大きく賭けて、大きく獲る。それしか増える道はないわ。
r1.beforeManualDiscardLines[0]	Enemy	お互い17牌捨てたら、その局は流れる。
r1.beforeManualDiscardLines[1]	Enemy	あと2回よ。好きなのを捨てなさい。
r1.introLines[0]	Enemy	次は、誰も死なない局を見せてあげる。
r1.introLines[1]	Enemy	『自動』を押しなさい。
r1.onBattleStartLines[0]	Enemy	しばらく黙って見ていなさい。勝手に進めるわ。
r1.outroLines[0]	Enemy	流局。誰も上がらないまま牌が尽きたわ。
r1.outroLines[1]	Enemy	誰も死ななかったわね。
r1.outroLines[2]	Enemy	それでも、抜かれた血は卓の上にあるのよ。
r1.outroLines[3]	Enemy	決着していないんだから、賭け金は誰のものにもならない。
r1.outroLines[4]	Enemy	だから次の局に積まれるの。
r1.outroLines[5]	Enemy	……いい？ 延ばした分だけ、次に決まるときが重くなるのよ。
r1.outroLines[6]	Enemy	流局は、助かったんじゃないわ。
r1.outroLines[7]	Enemy	支払いを、先に延ばしただけ。
r2.inheritedBetLines[0]	Enemy	前の局は流れたわね。賭けたぶんは、まだ卓の上にあるの。
r2.inheritedBetLines[1]	Enemy	今回は{0}円が自動で積まれて、場には合計{1}円。改めて賭ける必要はないわ。
r2.inheritedBetLines[2]	Enemy	誰も勝っていないのに、卓の上の血だけが増えていくのよ。
r2.inheritedBetLines[3]	Enemy	積まれた分だけ、次に上がったほうの取り分が大きくなる。
r2.introLines[0]	Enemy	次の局よ。『自動』を押して。
r2.onBattleStartLines[0]	Enemy	……ふふ。正直に言うとね、ちょっと怖いの。
r2.onBattleStartLines[1]	Enemy	このまま流局を続けていたいくらい。
r2.onBattleStartLines[2]	Enemy	だから教えてあげる。私の待ちは東よ。
r2.onBattleStartLines[3]	Enemy	東だけは絶対に出さないでね。
r2.onBattleStartLines[4]	Enemy	……ほら。ちゃんと目を見て言ったでしょう？
r2.outroLines[0]	Enemy	ロン。
